date,platform,daily_active_users_dau,new_registrations,session_duration_minutes,ingame_purchases_,social_media_mentions,stream_viewership,revenue_,top_genre,influencer_endorsements,revenue_per_user,log_revenue_per_user,log_revenue,engagement_level,scaled_daily_active_users_dau,scaled_session_duration_minutes,scaled_ingame_purchases_,scaled_revenue_per_user,scaled_log_revenue,scaled_social_media_mentions,scaled_stream_viewership,scaled_new_registrations
2022-04-13,PC,142204,14220,31.26663517723865,60772.72406008391,7116,85079.54276643321,87378.40758958894,Action,0,0.6144581558155111,0.4789993931444979,11.378014922779869,Low,0.6961368734794469,0.25098246910046973,0.5643786843209423,0.04211290586883299,0.8410257788369644,0.6795954656590353,0.7076662375027221,0.6961558715113219
2021-03-17,PC,132314,13231,23.31443583108024,43499.83444985586,6582,64188.42057566997,41132.11375077948,Action,0,0.3108674346688897,0.2706890819486763,10.624568763459385,Low,0.6440562828465808,0.16432027697546853,0.3723397104477354,0.02034599004969977,0.6193539544051072,0.6202489442098243,0.4804562205256414,0.6440758293838863
2019-03-09,VR,111557,11155,33.85933430235799,52178.79131396489,5572,34385.66578808094,71787.34204137765,Simulation,0,0.6435036980321956,0.49683036421525245,11.181477374741617,Low,0.534750234336328,0.2792374184450128,0.46883184396350785,0.04419541968863551,0.783202354689053,0.5080017781729272,0.1563240671918296,0.5347551342812007
2021-03-31,Console,132909,13290,80.58001029647639,25085.562444062,6619,43129.91570688823,18639.64115615618,RPG,0,0.14024363403649248,0.1312419536399047,9.83309948443752,High,0.6471895438603882,0.7883941967101589,0.1676109140267361,0.00811256640921809,0.38649532623083394,0.6243609691042453,0.2514257641883878,0.6471827277514483
2021-02-04,Mobile,130694,13069,37.27090314705249,55277.07443914834,6555,69341.38982693356,63849.95974957958,Action,0,0.4885454554117219,0.39779943873784146,11.064306892664547,Low,0.6355253873131892,0.3164163197522856,0.5032783740783406,0.03308518875054411,0.7487295603025119,0.6172482773949766,0.5364994632184459,0.6355450236966825
2022-05-05,PC,143731,14373,48.8496175656616,28236.81172442309,7088,65182.86741396299,17343.95413233272,Simulation,0,0.12066954332978078,0.11392631323629933,9.761056914968686,Medium,0.7041780324174031,0.4425998734871111,0.20264631874910988,0.006709138850431473,0.3652996407616582,0.6764836630362302,0.4912717373249861,0.7042127435492365
2018-05-25,PC,104264,10426,52.4735994817472,36333.08656938105,5123,29588.68878148995,20798.0871922978,RPG,1,0.19947524737491176,0.18188416729887383,9.942664379740753,Medium,0.49634540648137426,0.4820936290380278,0.2926602277421088,0.012359367946825522,0.4187304765930806,0.4581018004000889,0.10415256500282319,0.49636650868878357
2021-07-24,Console,135586,13558,58.64575429068147,65920.96975312957,6828,55361.32371380995,36327.50553504805,FPS,0,0.26792962057327485,0.23738535019486295,10.500357988532318,Medium,0.661286585430073,0.5493570919610881,0.6216165780636438,0.017267424995580552,0.5828098314421477,0.647588352967326,0.3844534874255353,0.6612954186413903
2022-05-10,VR,142277,14227,67.01901073239401,22325.15298268865,7060,30574.64015441024,17590.71434326672,Simulation,0,0.12363709062790698,0.1165708262299112,9.7751832942257,High,0.6965212903769392,0.6406079179120426,0.1369208434945809,0.006921906724178225,0.3694557708630355,0.6733718604134251,0.1148756858641258,0.69652448657188
2018-04-20,VR,103451,10345,63.73872887901454,36817.42436281398,5232,44473.71233212805,23876.47158642194,Action,1,0.23079981427363622,0.20766421356684023,10.080690681935279,High,0.49206416075998693,0.6048597677680129,0.298045066929861,0.014605283790959779,0.45933927371620564,0.47021560346743724,0.2660407787025185,0.4921011058451817
2019-11-19,Console,118823,11882,65.24326803093707,52148.75664746454,6098,70906.21833526061,40590.33300432572,Adventure,0,0.3416033344076965,0.29386541692008866,10.611309850001403,High,0.5730128805990584,0.6212560696422214,0.46849792030246995,0.022549699503378415,0.6154530419114188,0.5664592131584796,0.5535184011527808,0.5730384412848869
2023-02-15,VR,150676,15067,73.20832593827492,31595.3889126289,7557,77164.58933019766,38316.97433304467,FPS,0,0.254300448200408,0.2265780053795355,10.55367436881503,High,0.7407502975281467,0.708058392949915,0.23998678299402026,0.016290237528835242,0.5984960741061625,0.7286063569682151,0.621583896487312,0.7407582938388626
2021-08-11,PC,136165,13616,41.08843749770118,23485.78640012784,6815,36804.35575591844,28222.10233881952,FPS,0,0.20726399837564366,0.18835664096264024,10.247896153411968,Medium,0.664335590685526,0.3580193884051772,0.14982469777475843,0.012917807568197355,0.5085328908827651,0.6461435874638808,0.18262952764706689,0.6643496577145866
2021-11-14,Mobile,139165,13916,61.93735290367431,30379.02551850114,6923,86423.93319761727,22252.87145690797,FPS,0,0.15990278774769498,0.1483361979407697,10.01027127052176,High,0.6801335453769919,0.5852285709042533,0.22646332610080266,0.009522092834436068,0.43862113850461926,0.6581462547232718,0.7222877101983444,0.6801474460242234
2020-09-26,VR,127692,12769,82.24506228537288,48949.5125159934,6406,75725.04417736737,59524.20981784629,FPS,0,0.4661545736447568,0.38264303695441926,10.994155196218172,High,0.619716900651929,0.8065397497928505,0.43292891163968117,0.03147980227266717,0.7280901896641603,0.6006890420093354,0.6059275293650872,0.6197472353870459
2022-02-17,Mobile,140860,14086,50.15652323079445,63631.68256312938,7022,63434.65054083888,61733.15722069867,Simulation,0,0.4382589608171139,0.3634333271031392,11.030592658344696,Medium,0.6890593897776701,0.4568423874019199,0.5961644173198858,0.029479736348882943,0.7388104761867411,0.6691486997110468,0.4722582835815692,0.6890995260663508
2018-05-26,Console,104063,10406,60.00639314166857,18869.97769290796,5240,63321.21333843992,11895.85729330157,FPS,0,0.11431399530382143,0.10823896471902121,9.384029551221055,High,0.49528694351704605,0.5641851842138242,0.09850640722048812,0.006253457338351587,0.254374204950762,0.47110468993109583,0.47102455049401415,0.4953133228014745
2024-10-18,Console,167831,16783,32.48477891931682,44901.89070248594,8376,47773.00475334872,43133.23329346727,Simulation,1,0.25700397002620057,0.2287310879374113,10.672072236772143,Low,0.8310882684388461,0.26425766535958306,0.38792768965349383,0.016484075244872668,0.6333299783927884,0.8196265836852633,0.3019235943881854,0.8311216429699843
2022-10-29,VR,148008,14800,49.74638741126697,44014.97243862854,7419,90092.15488928386,60819.74310449325,RPG,0,0.4109219981655941,0.34424339009923505,11.01568617925098,Medium,0.7267006498225363,0.45237277243855695,0.3780669844012744,0.02751972465109775,0.734424832467302,0.7132696154701044,0.7621829683481323,0.726698262243286
2023-08-02,Console,155583,15558,58.0001722170184,54522.09185183727,7709,67560.42581084486,63050.98633511367,Simulation,0,0.40525627051229035,0.34021968509417666,11.051714845022335,Medium,0.7665904854184878,0.542321609666838,0.4948845219417819,0.027113502035275322,0.7450248467809786,0.7454989997777283,0.5171298544135154,0.7666140073723012
2024-10-10,PC,167874,16787,57.1416372220555,59917.69381448162,8127,61094.31134182189,65059.51602593892,FPS,0,0.3875496862285936,0.32753937589177545,11.083073131535066,Medium,0.8313147057894238,0.5329653899041311,0.5548725081858972,0.025843971372111627,0.75425078614817,0.7919537675038897,0.44680495923234476,0.8313322801474461
2019-07-17,Mobile,115716,11571,43.14792934547518,54296.75025983853,5759,69722.40132075366,58460.23822562219,FPS,0,0.5052044507727729,0.4089287366639273,10.976119219173432,Medium,0.5566514655235969,0.380463503601797,0.49237918733507147,0.03427960914747119,0.722783814566935,0.5287841742609468,0.540643310886792,0.5566614007372301
2021-03-06,PC,131505,13150,31.5671538376998,51660.02540197842,6631,89785.20824782505,62149.30179178479,FPS,0,0.47260029498334505,0.38702974626710357,11.037310952788449,Low,0.6397961010647821,0.254257488344374,0.4630642349724049,0.03194194905120089,0.7407870694283338,0.6256945987997332,0.7588446435334054,0.6398104265402844
2024-06-29,Mobile,165226,16522,60.06786419950107,54178.15528355054,8329,95170.0020143604,44621.06077930359,RPG,0,0.2700607699714548,0.23906474969693164,10.705983652023198,High,0.8173703777817566,0.5648550890278403,0.49106065534263765,0.017420224624544758,0.6433070752228356,0.8144032007112691,0.8174091893696996,0.8173775671406004
2021-05-21,VR,133828,13382,57.57949249148164,47488.86175127001,6657,79107.48917963746,52397.37048796226,Simulation,1,0.39152771085245436,0.3304022161602625,10.866630772267623,Medium,0.6520289839808739,0.5377370883777468,0.41668948208421763,0.026129188676471196,0.6905711561313139,0.6285841298066236,0.6427147052464108,0.6520273828330702
